Family,Outcome,Treatment,Moderator,N,Beta,p,CI_lower,CI_upper,q,Pass_Conservative,CI_width,AbsBeta_over_CIwidth,PlaceboIV,Interaction_Beta
Direct NCO,hispanic_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,-5.152866005736654e-05,0.7323908859908402,-0.0003468795773893726,0.00024382225727463956,0.9323384059933857,True,0.0005907018346640122,0.08723294398886663,,
Direct NCO,hispanic_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,-6.572702457156083e-05,0.6789481953597967,-0.00037696878059988235,0.0002455147314567607,0.9323384059933857,True,0.000622483512056643,0.10558837832411533,,
Direct NCO,homeownership_raw_value,mo1_genai_composite_score_c,MO1,3134,-6.574911984080865e-05,0.9765564564529207,-0.004450978712952141,0.004319480473270524,0.9919304046893825,True,0.008770459186222665,0.007496656497084279,,
Direct NCO,homeownership_raw_value,mo2_robotics_composite_score_c,MO2,3134,-0.0011935921312075434,0.026399648011844655,-0.0022472411061503087,-0.00013994315626477782,0.2710363862549384,False,0.0021072979498855306,0.5664088133680288,,
Direct NCO,homeownership_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3132,-8.919619580765399e-05,0.25694891285219223,-0.00024340966173564766,6.501727012033967e-05,0.7327802329488445,True,0.00030842693185598733,0.2891971698804242,,
Direct NCO,homeownership_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3132,-9.178315256321023e-05,0.21231752283290628,-0.00023601748292237233,5.245117779595186e-05,0.6811853857555743,True,0.0002884686607183242,0.3181737396868635,,
Direct NCO,homeownership_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3132,-1.586505203283583e-05,0.8516878471224452,-0.00018217897317896056,0.0001504488691132889,0.9368566318346897,True,0.00033262784229224946,0.047696103619902834,,
Direct NCO,homeownership_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3132,-3.871315508208477e-05,0.6249718709369432,-0.00019393795970967012,0.00011651164954550058,0.9323384059933857,True,0.0003104496092551707,0.12470028606241507,,
Direct NCO,homeownership_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3132,-9.164141517942486e-05,0.2637563749771976,-0.0002523615601851088,6.907872982625911e-05,0.7385178499361533,True,0.0003214402900113679,0.28509623101753645,,
Direct NCO,juvenile_arrests_raw_value,mo1_genai_composite_score_c,MO1,1919,0.35333963467686313,0.545564149560519,-0.792440541241459,1.4991198105951853,0.9323384059933857,True,2.2915603518366443,0.15419172110988383,,
Direct NCO,juvenile_arrests_raw_value,mo2_robotics_composite_score_c,MO2,1919,0.04151376729673996,0.7439641761303899,-0.20760878229204605,0.290636316885526,0.9323384059933857,True,0.49824509917757204,0.08331997116532533,,
Direct NCO,juvenile_arrests_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,1918,0.007055685840287103,0.7090913587983924,-0.030011464419117395,0.0441228360996916,0.9323384059933857,True,0.074134300518809,0.09517437665034646,,
Direct NCO,juvenile_arrests_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,1918,-0.00261347485006234,0.8765620324959538,-0.03559070285573611,0.03036375315561143,0.9439898811494887,True,0.06595445601134754,0.039625447742495046,,
Direct NCO,juvenile_arrests_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,1918,0.004437270309061537,0.8246811756987222,-0.034821341910738116,0.04369588252886118,0.9323384059933857,True,0.0785172244395993,0.056513336286803946,,
Direct NCO,juvenile_arrests_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,1918,0.007803406857415641,0.6937560088716606,-0.031038220250064297,0.04664503396489558,0.9323384059933857,True,0.07768325421495988,0.1004515958590326,,
Direct NCO,juvenile_arrests_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,1918,0.013481728559598859,0.5329577207914412,-0.028898084256842697,0.055861541376040415,0.9323384059933857,True,0.08475962563288311,0.1590583778412599,,
Direct NCO,long_commute_driving_alone_raw_value,mo1_genai_composite_score_c,MO1,3135,0.0011053875234925958,0.7695775519027206,-0.0062907073302596725,0.008501482377244865,0.9323384059933857,True,0.014792189707504538,0.07472778171116873,,
Direct NCO,long_commute_driving_alone_raw_value,mo2_robotics_composite_score_c,MO2,3135,-0.004174406014261595,2.880650479986507e-07,-0.005768936845041122,-0.002579875183482068,4.436201739179221e-05,False,0.003189061661559054,1.3089762623846006,,
Direct NCO,long_commute_driving_alone_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,-0.00012860856874222785,0.2845277280434183,-0.00036414150002022803,0.00010692436253577237,0.7520835340790867,True,0.00047106586255600037,0.27301610871226917,,
Direct NCO,long_commute_driving_alone_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,-9.202377535293176e-05,0.443798691450225,-0.000327548223007905,0.00014350067230204148,0.8947671232836913,True,0.00047104889530994647,0.19535928492599655,,
Direct NCO,long_commute_driving_alone_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,0.0001149133724176837,0.39741174130968426,-0.00015123177406423525,0.00038105851889960263,0.8869769298795852,True,0.0005322902929638379,0.21588477929559116,,
Direct NCO,long_commute_driving_alone_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,0.00010160328177167869,0.4098927880158145,-0.0001400458464094533,0.0003432524099528107,0.8947671232836913,True,0.00048329825636226394,0.21022894337843487,,
Direct NCO,long_commute_driving_alone_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,-3.979959399296158e-05,0.7637466350305592,-0.0002993305131694155,0.00021973132518349236,0.9323384059933857,True,0.0005190618383529078,0.07667601632833199,,
Direct NCO,math_scores_raw_value,mo1_genai_composite_score_c,MO1,2686,-0.012662228917093336,0.02527417540453887,-0.023755410639524795,-0.0015690471946618774,0.2710363862549384,False,0.022186363444862918,0.570721242738191,,
Direct NCO,math_scores_raw_value,mo2_robotics_composite_score_c,MO2,2686,0.0028582153029987232,0.19815445954314148,-0.0014951261925078797,0.007211556798505326,0.6570079483791585,True,0.008706682991013206,0.32827832435715104,,
Direct NCO,math_scores_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,2686,-0.000647892213928741,0.0015855870352274527,-0.0010499271107308188,-0.00024585731712666324,0.03488291477500396,False,0.0008040697936041556,0.8057661400568655,,
Direct NCO,math_scores_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,2686,-0.00042916521363542187,0.0103199395163672,-0.0007571084401667616,-0.0001012219871040822,0.1444791532291408,False,0.0006558864530626794,0.6543285223096519,,
Direct NCO,math_scores_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,2686,-0.00022190645971437249,0.3284068221548162,-0.0006669246041340643,0.00022311168470531936,0.7902289158100264,True,0.0008900362888393837,0.2493229349150929,,
Direct NCO,math_scores_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,2686,-0.00030531510398372724,0.19518785553244677,-0.0007672682307773714,0.00015663802280991684,0.6570079483791585,True,0.0009239062535872883,0.33046112936054706,,
Direct NCO,math_scores_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,2686,-0.00029289918932608964,0.2005154128170159,-0.0007413632195616336,0.00015556484090945434,0.6570079483791585,True,0.000896928060471088,0.3265581736535838,,
Direct NCO,non_hispanic_black_raw_value,mo1_genai_composite_score_c,MO1,3128,-0.00048756421365946296,0.8309272963251351,-0.004963220769462387,0.0039880923421434615,0.9323384059933857,True,0.008951313111605848,0.05446845703870087,,
Direct NCO,non_hispanic_black_raw_value,mo2_robotics_composite_score_c,MO2,3128,0.00017286857080805567,0.7971684004344932,-0.0011454133727660523,0.0014911505143821635,0.9323384059933857,True,0.0026365638871482158,0.06556585700452544,,
Direct NCO,non_hispanic_black_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3126,1.0566120520983454e-05,0.9070190629188327,-0.0001667398027343692,0.0001878720437763361,0.9633167978586223,True,0.0003546118465107053,0.02979629875581293,,
Direct NCO,non_hispanic_black_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3126,-3.6716371088858405e-05,0.6576558971837263,-0.00019910486960117524,0.00012567212742345843,0.9323384059933857,True,0.0003247769970246337,0.11305102093198288,,
Direct NCO,non_hispanic_black_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3126,0.00013779521979054928,0.07801708092038355,-1.545466260532009e-05,0.00029104510218641864,0.4449863133977432,False,0.00030649976479173874,0.4495769185473233,,
Direct NCO,non_hispanic_black_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3126,5.6702359492575153e-05,0.5175058008018427,-0.00011501496950473595,0.00022841968848988625,0.9323384059933857,True,0.0003434346579946222,0.16510377788797032,,
Direct NCO,non_hispanic_black_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3126,-2.5401122498262533e-05,0.7771117702609813,-0.00020126810953562693,0.0001504658645391019,0.9323384059933857,True,0.0003517339740747288,0.07221685811011777,,
Direct NCO,non_hispanic_white_raw_value,mo1_genai_composite_score_c,MO1,3135,0.0028009290107023094,0.4447729566013232,-0.004383080515387492,0.009984938536792111,0.8947671232836913,True,0.014368019052179604,0.19494190538934547,,
Direct NCO,non_hispanic_white_raw_value,mo2_robotics_composite_score_c,MO2,3135,0.001613475220486303,0.11640805538749192,-0.0004007236534172799,0.0036276740943898857,0.5602137665523048,True,0.0040283977478071656,0.40052530099953226,,
Direct NCO,non_hispanic_white_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,5.802692510958581e-06,0.9674953615778723,-0.00027329239331435695,0.0002848977783362741,0.9919304046893825,True,0.0005581901716506311,0.01039554762098259,,
Direct NCO,non_hispanic_white_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,7.37311446623755e-05,0.5520356977366219,-0.00016926088936021477,0.0003167231786849658,0.9323384059933857,True,0.00048598406804518056,0.1517151476980536,,
Direct NCO,non_hispanic_white_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,-6.410829837965939e-05,0.652109862845755,-0.00034281446154213013,0.00021459786478281132,0.9323384059933857,True,0.0005574123263249414,0.11501055027313425,,
Direct NCO,non_hispanic_white_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,5.7806655114663237e-05,0.6898190536287685,-0.00022607904151519332,0.0003416923517445198,0.9323384059933857,True,0.0005677713932597131,0.10181325759084343,,
Direct NCO,non_hispanic_white_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,0.00014944525361485503,0.2845119310241042,-0.0001242388754446575,0.00042312938267436757,0.7520835340790867,True,0.0005473682581190251,0.27302506383619746,,
Direct NCO,not_proficient_in_english_raw_value,mo1_genai_composite_score_c,MO1,3135,-8.452093384789055e-05,0.8650281287063607,-0.0010591108327637547,0.0008900689650679736,0.9409181477333927,True,0.0019491797978317283,0.04336230754182442,,
Direct NCO,not_proficient_in_english_raw_value,mo2_robotics_composite_score_c,MO2,3135,-0.0002603276032398519,0.04258046217995145,-0.0005119462186156043,-8.708987864099508e-06,0.3451258513532907,False,0.0005032372307515048,0.517305929156104,,
Direct NCO,not_proficient_in_english_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,2.1557300116138677e-05,0.2761722352212508,-1.7242650559893542e-05,6.0357250792170897e-05,0.7520835340790867,True,7.759990135206444e-05,0.2778006123788091,,
Direct NCO,not_proficient_in_english_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,7.980073435861302e-06,0.6281510007366997,-2.4313249785099914e-05,4.027339665682252e-05,0.9323384059933857,True,6.458664644192243e-05,0.12355608899801199,,
Direct NCO,not_proficient_in_english_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,4.32181758559503e-06,0.8366823202330169,-3.676990218546129e-05,4.541353735665136e-05,0.9323384059933857,True,8.218343954211265e-05,0.05258745082554537,,
Direct NCO,not_proficient_in_english_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,1.1358521812935474e-05,0.5786204179077563,-2.8724758929522774e-05,5.144180255539372e-05,0.9323384059933857,True,8.01665614849165e-05,0.1416865286790753,,
Direct NCO,not_proficient_in_english_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,-4.959129083188001e-06,0.804333816459962,-4.419229666093273e-05,3.427403849455672e-05,0.9323384059933857,True,7.846633515548945e-05,0.06320072262022886,,
Direct NCO,reading_scores_raw_value,mo1_genai_composite_score_c,MO1,2773,-0.00715994980341543,0.10444161542120227,-0.015802750296895166,0.0014828506900643034,0.5368195918205723,True,0.01728560098695947,0.4142146870575694,,
Direct NCO,reading_scores_raw_value,mo2_robotics_composite_score_c,MO2,2773,0.0008735062453184882,0.6514778064543636,-0.002916625076442731,0.004663637567079708,0.9323384059933857,True,0.007580262643522439,0.11523429812355188,,
Direct NCO,reading_scores_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,2773,-0.0004580753802897648,0.002002657225137212,-0.0007486444196873195,-0.00016750634089221012,0.03855115158389133,False,0.0005811380787951095,0.7882384531392365,,
Direct NCO,reading_scores_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,2773,-0.0002502149772571835,0.07794965345962683,-0.000528430191199342,2.800023668497498e-05,0.4449863133977432,False,0.0005564304278843171,0.44967881826405737,,
