rel_path,model,purpose,what_it_does,dependencies,inputs,outputs,risks,other_notes,tokens_in,tokens_out,est_cost_usd
SQL_Code/CREATE_view_uninsured.sql,gpt-4o-mini,To create a SQL view that aggregates uninsured data by county.,"This SQL code constructs a view to retrieve county-level uninsured statistics, filtering out records with null values and specific identifiers.",[],[],['vw_uninsured_data'],The SQL query assumes that the input tables and columns exist and contain valid data types; there is no error handling for missing data or schema changes.,The view consolidates data from two public tables but does not make use of any imports.,533,108,0.000145
SQL_Code/Calculate_AIscore.sql,gpt-4o-mini,To retrieve and compile health equity data by joining various datasets on county FIPS codes.,"Selects various fields from health equity and survey data, performs data type corrections, and generates consistent FIPS codes for joins.",[],[],[],Potential for performance issues due to multiple string manipulations and joins; needs error handling for missing data.,No external libraries are imported; SQL code is shown without a wrapper function.,807,98,0.00018
SQL_Code/Select_Geolocation_Data.sql,gpt-4o-mini,To retrieve detailed information about hospitals from a view named vw_geocoded_hospitals.,"Selects various attributes of hospitals including identifiers, names, addresses, locations, health system affiliations, staffing details, and information regarding the use of robots and AI in operations.",[],[],[],"No error handling or data validation is noted in the SQL query itself, which may risk producing unexpected results if the view does not exist or is misconfigured.",The code appears to be a straightforward SQL SELECT statement without any complex functions or filtering.,960,121,0.000217
SQL_Code/AI_Robotics_Yes_Answers.sql,gpt-4o-mini,To retrieve counts of specific features flagged as '1' from the `aha_survey_data` table.,"Counts occurrences of specified fields in the `aha_survey_data` table where each field equals '1', aggregating the results into a single result set.",[],[],[],The SQL query is dependent on the structure of the `aha_survey_data` table; changes to the schema or field names may cause the query to fail. There is no error handling in case of an empty table or non-existent fields.,The query uses UNION ALL which will maintain duplicates if counts are the same across fields.,771,138,0.000198
SQL_Code/Select_IRR_Mortality_for_Regression.sql,gpt-4o-mini,To extract and join health equity data with mortality rates based on county FIPS codes.,"Selects county FIPS codes, IRR county values, and death rates by joining HRSA Health Equity Data with IHME Mortality Data, filtering for total race and all ages, ensuring relevant data is not null.",[],[],[],The script assumes that FIPS codes are correctly formatted and may encounter issues if data types do not match due to the casting to text.,"The code is repeated in the head and tail, suggesting potential redundancy.",591,126,0.000164
SQL_Code/IRR_vs_Insurance.sql,gpt-4o-mini,To retrieve health equity data related to the lack of health insurance among adults from two datasets.,"Selects county FIPS codes, state names, county values, and data values from health equity and CDC datasets, joining them on corrected location IDs, filtering for specific measures and non-null values.",[],[],[],The query assumes that the location IDs are formatted correctly in both tables; any discrepancies could result in incomplete joins or missing data.,The same SQL query appears to be duplicated in the provided synopsis.,663,116,0.000169
SQL_Code/Populate_tblProviders_Census_Data.sql,gpt-4o-mini,To update demographic and socioeconomic data in tblProviders based on corresponding values from tblCountyData.,Performs an SQL UPDATE operation to set various demographic statistics for entries in the tblProviders table by joining it with the tblCountyData table on the County_FIPS field.,[],[],[],"The operation assumes that the County_FIPS values in both tables are correctly matched, and any mismatches may lead to incomplete updates. Additionally, there is no error handling or validation of the data being updated.",It is essential to ensure data integrity in the tables involved and possibly back up data beforehand to prevent loss in case of errors.,1073,139,0.000244
SQL_Code/Update_Providers_Table_Rurality.sql,gpt-4o-mini,"To retrieve demographic and health-related data about providers listed in `tblProviders`, along with associated county data and health equity metrics.","This SQL query selects various columns from `tblProviders`, while joining related county and health equity data from `tblCountyData` and `tblHealthEquityData` based on the `County_FIPS` key.",[],[],[],Potential performance issues due to multiple joins if the dataset is large; no filtering conditions are applied so it retrieves all records.,"The query seems repetitive as the head and tail sections are identical, which might suggest redundancy or a formatting issue.",723,138,0.000191
SQL_Code/States_and_Territories.sql,gpt-4o-mini,The SQL code retrieves records from the HRSA health equity data related to a specific state or territory.,"It performs a join between 'hrsa_health_equity_data' and 'state_or_territory' tables based on matching county FIPS codes, filtering the results for a specific state.",[],[],[],"Potential risks include reliance on string conversion for FIPS code matching, which could introduce mismatches if formatting varies.","The queries are repeated, suggesting redundancy that can be optimized.",403,113,0.000128
SQL_Code/pub_health_spending_mortality.sql,gpt-4o-mini,To retrieve and analyze the relationship between population ratio to primary care physicians and premature death values in various counties from a specified dataset.,"Selects fields for county-level analysis related to healthcare access and premature death, ensuring only valid entries are included by filtering out null values and negative ratios.",[],[],[],"Commented-out joins may indicate incomplete functionality, and there is a reliance on specific data formats which could lead to errors if data types change.",The query features a focus on ensuring that relevant healthcare access metrics are used for analysis.,589,121,0.000161
SQL_Code/Untitled.sql,gpt-4o-mini,To create a view that captures the relationship between county-level mortality data and various health-related metrics.,"Defines a view named 'vw_irr_mortality_regression' which combines data on health equity, mortality, and obesity using joins on county FIPS codes.",[],[],['vw_irr_mortality_regression'],Potential for data discrepancies if underlying tables are not updated consistently or if FIPS codes are not accurate.,No external libraries are used; the code relies solely on SQL for data management.,552,118,0.000154
SQL_Code/AHA_AI_Counts.sql,gpt-4o-mini,To analyze survey data and calculate metrics related to AI usage and survey participation.,"Counts total respondents, AI usage, survey answers, and calculates percentage of AI usage excluding null responses.",[],['aha_survey_data'],[],"The queries may not handle cases where the data types of the columns do not match expected formats, potentially leading to errors or incorrect results.","The SQL query appears twice, indicating potential redundancy in code.",1063,100,0.000219
SQL_Code/CHR_Chunk_3_Equity.sql,gpt-4o-mini,To query demographic and socioeconomic data from a specified database table.,Selects various demographic and socioeconomic metrics from the table 'chr_analytic_chunk_3'.,[],[],[],"The SQL script does not include any filtering or conditions, which may potentially return a large dataset and could lead to performance issues.",The same SQL query appears to be repeated in the HEAD and TAIL sections.,606,93,0.000147
SQL_Code/Create_Table_tblBroadband.sql,gpt-4o-mini,This SQL file is used to create a table for storing broadband data related to various geographical areas.,"Defines a table '[Research].[dbo].[tblBroadband]' with columns for geography identification, descriptions, scores, and average speeds for different broadband technologies.",[],[],['[Research].[dbo].[tblBroadband]'],No constraints or indexes defined for data integrity and potential issues with NVARCHAR lengths.,"The absence of imports, input files, or external dependencies indicates this is a self-contained table creation script.",591,114,0.000157
SQL_Code/LPAD_fips_cdc.sql,gpt-4o-mini,To ensure FIPS (Federal Information Processing Standards) fields are formatted correctly by padding the 'locationid' with leading zeros.,"Updates the 'locationid' column in the 'cdc_places_county_data_2024' table, adding leading zeros to values shorter than 5 characters.",[],[],[],The operation assumes that all 'locationid' values should be 5 characters long; it may not handle unexpected data formats or types.,The same SQL update statement is repeated in the head and tail.,375,118,0.000127
SQL_Code/ETL_Tables.sql,gpt-4o-mini,To create tables for storing various health-related data specific to California for the year 2024.,"Defines SQL tables for registered nurse shortage areas and various healthcare providers, including dentists, flu vaccinations, mammography screenings, and mental health providers, among others.",[],[],"['[dbo].[CAHHS_registered-nurse-shortage-areas]', '[dbo].[california-2024-dentists-place-sort]', '[dbo].[california-2024-flu-vaccinations-place-sort]', '[dbo].[california-2024-mammography-screening-place-sort]', '[dbo].[california-2024-mental-health-providers-place-sort]', '[dbo].[california-2024-other-primary-care-providers-place-sort]', '[dbo].[california-2024-preventable-hospital-stays-place-sort]', '[dbo].[UMD_Linkup_AI_Maps_California_Counties_113024]', '[dbo].[uscounties]', '[dbo].[USPTO_AI_TM_Assignments]', '[dbo].[Zip_Code_to_FIPS]']",,The tables include various demographic and statistical fields relevant to healthcare assessments; additional normalization or indexing might enhance query performance.,2658,254,0.000551
SQL_Code/Join_IRR_and_IHME_mortality.sql,gpt-4o-mini,To retrieve health equity data related to broadband access and mortality rates by county.,"Selects county FIPS codes, broadband values, and death rates based on specific demographic criteria from joined data tables.",[],[],[],The query does not handle potential errors in joins or missing data scenarios which could lead to incomplete results.,The query is designed to ensure the naming conventions are consistent with a specific dataset (IHME data).,557,99,0.000143
SQL_Code/SELECT_CHR_key_fields.sql,gpt-4o-mini,This SQL file retrieves various health-related metrics for counties from a view.,"It selects multiple health and demographic indicators such as premature death rates, low birth weight, and healthcare provider ratios from the vw_county_health_rankings_key_fields view.",[],[],[],"The query assumes the vw_county_health_rankings_key_fields view is properly defined and populated, and does not provide error handling for potential issues like connectivity or data availability.","The query is repetitive, as the 'SELECT' statement is identical in both the head and tail.",830,125,0.000199
SQL_Code/2023_v_2024.sql,gpt-4o-mini,To analyze and compare the adoption of AI technologies across hospitals in different states for the years 2023 and 2024.,"This SQL script constructs a report by classifying hospitals based on AI adoption, summarizing state-level hospital data, ranking states by AI adoption percentage, and calculating absolute changes in adoption metrics between 2023 and 2024.",[],[],[],Potential for divide-by-zero errors if total_hospitals is zero; assumptions are made about the validity of hospital data entries.,,2294,120,0.000416
SQL_Code/Mean_IRR_by_APRN.sql,gpt-4o-mini,To calculate the average and median rurality values for distinct APRNs using data from healthcare equity and survey datasets.,"Formats county FIPS codes, joins survey data with health equity data on county FIPS codes, filters for numeric rurality values, and computes average and median rurality for APRNs.",[],[],[],The code could fail if the input data does not adhere to expected formats or if there are NULL values in numeric fields.,The query uses Common Table Expressions (CTEs) for better readability and logical separation of data transformations.,685,127,0.000179
SQL_Code/Health_System_Counts.sql,gpt-4o-mini,This SQL query aggregates survey data to provide average scores and counts of facilities per hospital system.,"Retrieves and calculates the number of facilities and average scores across multiple metrics from the 'aha_survey_data' table, grouped by hospital system affiliation.",[],[],[],"The use of COALESCE may obscure data for systems with no affiliation, leading to potential misinterpretation of results.","The query repeats identical SQL statements, indicating possible redundancy in the provided synopsis.",805,105,0.000184
SQL_Code/YPLL_AIPW_SQL.sql,gpt-4o-mini,This SQL script retrieves various health and demographic scores related to counties from joined data views.,The code selects specific fields from three joined views based on county FIPS codes and filters out any rows with null values in critical fields.,[],[],[],"The code assumes all required fields are present in the database; if any of the fields are unexpectedly null or missing from the views, it may omit valid records without indication.","The code checks for nulls to ensure data integrity for calculations, particularly regarding health scores and demographic data.",1121,123,0.000242
SQL_Code/County_Health_Trends_Analysis.sql,gpt-4o-mini,"This SQL script processes and analyzes health trend data from a CSV file, focusing on county-level metrics over the most recent five-year period.","1. Determines the most recent end-year in the dataset. 2. Converts raw data into usable numeric types while filtering out irrelevant rows. 3. Limits the dataset to the last five years of records. 4. Identifies the earliest records in the time window for each county/metric combination. 5. Identifies the latest records in the time window for each county/metric combination. 6. Aggregates data to compute trend metrics like regression slope. 7. Assembles a final result set including trend classifications (Increasing, Decreasing, Stable).",[],[],['usable'],Dependencies on specific data formats and completeness of the input table; the script could fail if the expected columns or data types are not present.,The use of DISTINCT ON may impact performance on larger datasets; consider optimizing indexes on relevant columns.,1961,212,0.000421
SQL_Code/County_Health_Rankings_Table.sql,gpt-4o-mini,To create a SQL table named 'CHR_analytic_slice_1' for storing various health and demographic statistics.,"Defines the structure of the 'CHR_analytic_slice_1' table, specifying columns for various metrics related to health, demographics, and social factors, along with their data types and constraints.",[],[],['[dbo].[CHR_analytic_slice_1]'],,,2346,82,0.000401
SQL_Code/Update_SCI_Score.sql,gpt-4o-mini,To update the CHRR_Score field in the tblProviders table based on values from the tblHealthEquityData table.,This SQL query updates the CHRR_Score in the tblProviders table by joining it with tblHealthEquityData on County_FIPS and setting CHRR_Score only where CHRR_County_Value is not null.,[],[],['tblProviders'],"The query assumes valid relationships between the County_FIPS fields, and if there are no matching records in tblHealthEquityData, the CHRR_Score will not be updated for some providers.",,423,126,0.000139
SQL_Code/IRR_ceamt_regression.sql,gpt-4o-mini,This SQL code retrieves and combines health equity data and survey data related to counties for further analysis.,"Performs a JOIN between health equity data and survey data based on formatted county FIPS codes, and includes additional county information from a separate database, filtering out records where a specific survey variable is NULL.",[],[],[],There is a potential risk that invalid or inconsistent data due to the JOIN conditions might lead to incorrect analysis; no error handling is indicated for missing data or formatting issues.,"The SQL code uses LPAD to ensure that the county FIPS codes are consistent in format, which is critical for accurate joins.",777,139,0.0002
SQL_Code/DROP_ALL_TABLES.sql,gpt-4o-mini,To drop all tables in the public schema of a PostgreSQL database.,Iterates through all tables in the public schema and executes a drop command for each table using CASCADE option.,[],[],[],"Executing this code will permanently delete all tables in the public schema, potentially resulting in loss of important data if not backed up.",,443,73,0.00011
SQL_Code/bed_size_code_robo_ai_scores.sql,gpt-4o-mini,To calculate and report average and median scores for robotics and AI adoption by business sector (bsc) from a view.,Retrieves the average and median scores for 'robotics_adoption_score' and 'ai_adoption_score' grouped by 'bsc' from the view 'vw_robot_score_vs_ai_score'.,[],[],[],No defined dependencies or error handling mechanisms; could be vulnerable to changes in the underlying view or data inconsistencies.,Uses SQL aggregation functions to summarize data.,499,112,0.000142
SQL_Code/Select_Distinct_Counties.sql,gpt-4o-mini,To retrieve distinct county identifiers and names along with associated state names from health equity data.,"Executes a SQL query to select unique values of county FIPS codes, county names, and state names from the hrsa_health_equity_data table.",[],[],[],Retrieving all distinct values without any filtering may lead to performance issues with large datasets.,"The query relies on the public.hrsa_health_equity_data table, which must exist in the database for the query to work.",321,112,0.000115
SQL_Code/Max_Death_Rate_by_County.sql,gpt-4o-mini,To retrieve and display mortality data for all races and ages from a database table.,"Executes a SQL query to select specific columns from the IHME Mortality Data table for total race and all age groups, filtering out null values and ordering results by value in descending order.",[],[],['Data table with selected columns from IHME_Mortality_Data_2019 filtered by specific criteria'],Assumes the presence of the database and the specified table structure; lacks error handling for query execution failures.,,419,110,0.000129
SQL_Code/Select_IHME_Mortality_Rates.sql,gpt-4o-mini,To query and retrieve specific mortality data from an IHME database based on predefined filters.,"Selects location information and mortality values for a specific cause, race, and age group from the IHME Mortality Data 2019 table, filtering out null values and ordering results by values in descending order.",[],[],[],The query lacks error handling for cases where the queried data may not exist or when the database connection fails.,The SQL statement appears repeated in both the head and tail sections.,427,114,0.000132
SQL_Code/CHR_Equity_Chunk_2.sql,gpt-4o-mini,Retrieve various social and health metrics based on geographical identifiers from a database.,Executes SQL queries to select and return specific demographic and health-related data from a table named chr_analytic_chunk_2.,[],[],[],"No input validation or error handling is mentioned, which may lead to potential runtime errors if the table does not exist.","The same SQL query is repeated in both the head and tail, indicating redundancy.",510,99,0.000136
SQL_Code/Provider_and_Population.sql,gpt-4o-mini,To retrieve healthcare provider and mortality rate data for counties in California.,"The SQL query joins multiple tables on county identifiers to extract counts of dentists, mental health providers, primary care physicians, population data, and mortality rates, filtering results specifically for the state of California and ordering by county name.",[],[],[],"The query could fail if the table structures change or the expected column names are altered. Also, it lacks error handling and performance considerations for large datasets.",The query includes commented-out code for average mortality rates which may indicate potential future modifications or analyses.,1057,130,0.000237
SQL_Code/PCP_vs_Mortality.sql,gpt-4o-mini,"To analyze the relationship between the ratio of the population to primary care physicians and county-level mortality rates, alongside state information.","Joins data from primary care physicians, mortality rates, and state information for analysis; filters the results to ensure non-null and non-negative data values.",[],[],[],"The code lacks error handling and may not account for scenarios where join conditions do not find matches, potentially yielding incomplete results.",The SQL query is repeated verbatim in both the head and tail sections.,621,114,0.000162
SQL_Code/AHA_Summary_Statistics.sql,gpt-4o-mini,To generate and summarize statistical insights on specified numeric fields stored as text in the 'aha_survey_data' table.,"Drops existing 'numeric_summary' table, creates a new temporary table to store statistics, populates the summary table with counts of null/non-null values and statistical metrics (min, median, mean, stddev, max) for specified numeric columns, and selects the results for inspection.",[],[],['numeric_summary'],Relies on correct casting from text to numeric; potential errors if non-numeric strings are present in the data.,The code uses PL/pgSQL for procedural logic and dynamic SQL to handle multiple columns efficiently.,1378,145,0.000294
SQL_Code/Insert_Into_CHR_Chunked_Tables.sql,gpt-4o-mini,To insert health and demographic data into the CHR_analytic_chunk_1 table.,Executes an INSERT statement to populate the CHR_analytic_chunk_1 table with various health metrics and demographics from the CHR_analytic_data2024 source table.,[],[],"['CHR_analytic_chunk_2', 'CHR_analytic_chunk_3']",Potential for data integrity issues if the source data has inaccurate or missing values.,"No external libraries used and no noted dependencies, inputs, or functions within this SQL script.",2228,116,0.000404
SQL_Code/tblAIPatentsTrademarks.sql,gpt-4o-mini,To query data from the tblAIPatentsTrademarks table.,Counts the number of records from tblAIPatentsTrademarks for the years 2018 and 2019.,[],[],['Count of records'],Potential performance issues if the table is large without proper indexing on record_dt.,,441,74,0.000111
SQL_Code/AI_intensity_vs_mortality.sql,gpt-4o-mini,To retrieve county-level artificial intelligence intensity scores and associated mortality values from specified data sources.,"Joins county-level AI intensity data with mortality data using normalized FIPS codes, filtering out records with NULL FIPS values to focus on valid entries, and orders the results by county FIPS.",[],[],[],"Joining datasets without validating data integrity could lead to incorrect associations; also, reliance on specific FIPS formatting may limit interoperability.","The query appears to function without external libraries or complex architecture, focusing solely on basic SQL operations.",491,123,0.000147
SQL_Code/medicaid_state_comparison.sql,gpt-4o-mini,To aggregate and compute mortality rates by state and Medicaid expansion status for the year 2019.,"The code calculates the average and median mortality rates for states based on their Medicaid expansion status, while counting the number of states in each category.",[],[],[],The query does not appear to handle potential errors such as division by zero or missing data in the source table.,The use of `PERCENTILE_CONT` indicates a focus on statistical analysis of mortality rates.,575,109,0.000152
SQL_Code/adjpd_county_tech_scores.sql,gpt-4o-mini,"To calculate and analyze the technology utilization in hospitals on a county basis, along with associated health statistics.","Aggregates hospital technology scores weighted by adjusted patient days, computes average technology scores per patient-day, and evaluates patient-day distributions along with mortality and health equity data for counties.",[],[],[],The SQL logic relies on proper data formats and joins; erroneous data or null values in critical fields could lead to inaccuracies in the results.,The query uses common table expressions (CTEs) to structure the data aggregation process systematically.,1479,123,0.000296
SQL_Code/Update_MUA_Counties.sql,gpt-4o-mini,"To clean up county names in the HRSA_MUA_CA_Counties table by removing the ', CA' suffix.","It updates the County field in the HRSA_MUA_CA_Counties table by replacing occurrences of the string ', CA' within the County name, where applicable.",[],[],['HRSA_MUA_CA_Counties'],"If the County names contain multiple instances of ', CA', only the first occurrence will be replaced. Potentially unintended replacements could occur if similar patterns exist in other parts of the County names.",,333,115,0.000119
SQL_Code/AI_Intensity_Score.sql,gpt-4o-mini,"To calculate the AI intensity score per county based on data from HRSA and AHA surveys, ensuring FIPS codes are correctly formatted.",- Selects and formats county FIPS codes as 5-digit strings. - Computes the sum of various AI-related scores from survey data for each county after normalizing FIPS codes. - Groups results by county FIPS and orders them accordingly.,[],[],[],"The query may return incorrect results if there are mismatched or missing county FIPS codes between the two datasets, and it lacks explicit error handling for NULL values beyond COALESCE.",This query assumes that the input data in hrsa_health_equity_data and aha_survey_data is clean and correctly formatted.,701,155,0.000198
SQL_Code/FIPS_Code_Fix_LPAD.sql,gpt-4o-mini,To standardize the FIPS code lengths in various database tables by padding them with leading zeros.,Performs updates on several tables to ensure that FIPS codes are formatted with a length of 5 characters by adding leading zeros where necessary.,[],[],[],"There is a potential risk of overwriting existing values if the code is run multiple times without checks for already formatted values. Additionally, there may be performance concerns if these tables are large and the operation is not optimized.",,755,108,0.000178
