change_type,author,datetime,chapter_h1,snippet,words,dt
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),LIST OF ABBREVIATIONS (optional) viii,5,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),ACKNOWLEDGEMENTS ix,2,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),VITA x,2,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),ABSTRACT OF THE DISSERTATION xi,5,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),Chapter 1 – Introduction to the Problem 1,8,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),Chapter 2 – Literature Review 18,6,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),Acknowledgements 31,2,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),REFERENCES 32,2,2025-04-20 00:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:10:00Z,– Data & Methods,This chapter details the methodological approach,6,2025-04-20 14:10:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:11:00Z,– Data & Methods,used to investigate the impact of Artificial Intelligence (AI) and robotics adoption on healthcare accessibility and outcomes,17,2025-04-20 14:11:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:12:00Z,– Data & Methods,"within US hospitals at the county level. Specifically, this research seeks to answer the",14,2025-04-20 14:12:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:15:00Z,– Data & Methods,"research paradigm and design, justifying the chosen quantitative, exploratory approach using archival data. Subsequently, it describes the data sources utilized , t",22,2025-04-20 14:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:16:00Z,– Data & Methods,"he design of the database integrating those sources, and the procedures used for data preparation and cleaning.",17,2025-04-20 14:16:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:16:00Z,– Data & Methods,"ey dependent, independent, moderating and control variables",7,2025-04-20 14:16:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:16:00Z,– Data & Methods,derived,1,2025-04-20 14:16:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:17:00Z,– Data & Methods,from the raw data,4,2025-04-20 14:17:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:17:00Z,– Data & Methods,"ollowing this, the statistical analysis techniques, including the regression models used and model selection criteria, are detailed.",17,2025-04-20 14:17:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:18:00Z,– Data & Methods,"The role of data visualization in interpreting and presenting key findings is discussed, along with software tools used to paint the pictures used for analysis.",25,2025-04-20 14:18:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:19:00Z,– Data & Methods,Finally this chapter addresses IRB,5,2025-04-20 14:19:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:19:00Z,– Data & Methods,", acknowledges the study’s limitations, and concludes with a summary reiterating how the chosen methods enable the investigation of the",20,2025-04-20 14:19:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:20:00Z,– Data & Methods,research questions.,2,2025-04-20 14:20:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:20:00Z,– Data & Methods,This study adopts a quantitative research paradigm characteri,8,2025-04-20 14:20:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:21:00Z,– Data & Methods,zed by an exploratory approach to analyzing archival data. The core objective is to analyze and correlate large volumes of existing hospital-level and county-level public health data to identify patte,42,2025-04-20 14:21:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:22:00Z,– Data & Methods,s in U.S. healthcare settings.,5,2025-04-20 14:22:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:22:00Z,– Data & Methods,This quantitative approach was deemed most suitable for addressing the research questions,12,2025-04-20 14:22:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:22:00Z,– Data & Methods,for several reasons,3,2025-04-20 14:22:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:22:00Z,– Data & Methods,"First, the r",3,2025-04-20 14:22:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:22:00Z,– Data & Methods,search aims to i,4,2025-04-20 14:22:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:23:00Z,– Data & Methods,"dentify broad patterns and associations on a national scale regarding technology adoption and health outcomes (RQ1, RQ3) . Qualitative methods like",21,2025-04-20 14:23:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:24:00Z,– Data & Methods,e,1,2025-04-20 14:24:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:24:00Z,– Data & Methods,"interviews or surveys could be valuable for in-depth understanding, but would be impractical for capturing",15,2025-04-20 14:24:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:25:00Z,– Data & Methods,"large-scale trends and might limit generalizability and impact of the findings. Second, the study leverages powerful existing datasets, primarily the American Hospital Association (AHA) Annu",25,2025-04-20 14:25:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:26:00Z,– Data & Methods,"al Survey, which encompasses data from more than 6,000 hospitals nationwide. This extensive dataset provides a robust foundation for examining technology adoption (MO1: Generative AI Capabilities, MO2",29,2025-04-20 14:26:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:27:00Z,– Data & Methods,"Third, by correlating hospital-specific data with comprehensive public health data at the county level from the CDC and University of Wisconsin Population Health Institute’s Co",25,2025-04-20 14:27:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:28:00Z,– Data & Methods,"unty Health Rankings (CHR), the study can interrogate potential associations between hospital technology adoption and community-level morbidity",17,2025-04-20 14:28:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:29:00Z,– Data & Methods,"and mortality outcomes (addressing DV1: Healthcare Accessibility, DV2: Healthcare Quality, and implicitly mortality via DV2 components like Premature De",19,2025-04-20 14:29:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:30:00Z,– Data & Methods,ath). The use of computational tools like Python for data processing and PostgreSQL for database management and querying enables the efficient handling and correlation of these large and disparate dat,31,2025-04-20 14:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:31:00Z,– Data & Methods,hich is essential for the scale of this investigation.,9,2025-04-20 14:31:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:31:00Z,– Data & Methods,Data Sources and Database Des,5,2025-04-20 14:31:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:32:00Z,– Data & Methods,ign,1,2025-04-20 14:32:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:32:00Z,– Data & Methods,"This research uses secondary data drawn exclusively from publicly available government and Non-Governmental Organization (NGO) datasets, ensuring transparency and reproduc ibility. Key data provider",24,2025-04-20 14:32:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:33:00Z,– Data & Methods,s include:,2,2025-04-20 14:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:33:00Z,– Data & Methods,American Hospital Association (AHA),4,2025-04-20 14:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:33:00Z,– Data & Methods,Centers for Disease Control and Prevention (CDC),7,2025-04-20 14:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:33:00Z,– Data & Methods,Centers for Medicare & Medicaid Services (CMS),7,2025-04-20 14:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:33:00Z,– Data & Methods,University of Wisconsin Population Health Institute,6,2025-04-20 14:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:34:00Z,– Data & Methods,(County Health Rankings & Roadmaps – CHR),7,2025-04-20 14:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:34:00Z,– Data & Methods,U.S. Census Bureau,3,2025-04-20 14:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:34:00Z,– Data & Methods,Health Resources and Services Administration (HRSA),6,2025-04-20 14:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:34:00Z,– Data & Methods,Kaiser Family Foundation (KFF),4,2025-04-20 14:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:34:00Z,– Data & Methods,Bureau of Labor Statistics (,5,2025-04-20 14:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:35:00Z,– Data & Methods,BLS),1,2025-04-20 14:35:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:35:00Z,– Data & Methods,Institute for Health Metrics and Evaluation (IHME),7,2025-04-20 14:35:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:35:00Z,– Data & Methods,Federal Communications Commission (FCC),4,2025-04-20 14:35:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:35:00Z,– Data & Methods,Federal Trade Commission (FTC),4,2025-04-20 14:35:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:36:00Z,– Data & Methods,National Bureau of Economic Research (NBER),6,2025-04-20 14:36:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:36:00Z,– Data & Methods,California Health and Human Services (CalHHS),6,2025-04-20 14:36:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:37:00Z,– Data & Methods,Center for Healthcare Quality & Payment Reform (CHQPR),8,2025-04-20 14:37:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:38:00Z,– Data & Methods,"Detailed information about the specific variables collected, their operational definitions (what each one measures), the original sources, and their corresponding role within the",23,2025-04-20 14:38:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:39:00Z,– Data & Methods,"conceptual model (e.g., Independent Variable [IV], Dependent Variable [DV], Moderator [MO] , Control) is provided in the Data Dictionary",19,2025-04-20 14:39:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:39:00Z,– Data & Methods,.,1,2025-04-20 14:39:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:40:00Z,– Data & Methods,The data architecture and pipelines are built on a PostgreSQL database system. The complete dataset comprises three database instances,19,2025-04-20 14:40:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:41:00Z,– Data & Methods,"(staging, testing, production) encompassing approximately 176 tables, 5,227 columns, and 15,454,895 rows, which represent roughly 510 million datapoints. Of those, approximately",21,2025-04-20 14:41:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:42:00Z,– Data & Methods,406 million datapoints are usable (non-null) for analysis. The physical storage footprint of the Postgres databases is about 2.8 gigabytes on disk (a subset of more than 8,28,2025-04-20 14:42:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:43:00Z,– Data & Methods,gigabytes collected from public health sources).,6,2025-04-20 14:43:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:44:00Z,– Data & Methods,"Initial data discovery, field type validation, and preliminary loading were performed using Micros",13,2025-04-20 14:44:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:45:00Z,– Data & Methods,"oft SQL Server tools on CSV files downloaded from the source organizations. Subsequent data transformations , scrubbing",17,2025-04-20 14:45:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:46:00Z,– Data & Methods,", and the primary analysis are performed in PostgreSQL. To maintain data integrity and flexibility, rather than altering the source files, a set of approximately 40 complex SQL views were created. The",38,2025-04-20 14:46:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:47:00Z,– Data & Methods,"les, cast data types for calculations, run calculations (e.g., weighted averages for technology adoption) , create index variables based on CHR methodology, and generate dummy variables (e.g., for Cen",31,2025-04-20 14:47:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:48:00Z,– Data & Methods,red for regression analyses.,4,2025-04-20 14:48:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:48:00Z,– Data & Methods,A critical element of the database design is the integration of data fro,13,2025-04-20 14:48:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:49:00Z,– Data & Methods,"m disparate sources using the county Federal Information Processing Standards (FIPS) code as a unique, common key for joining tables. All analyses are conducted at the US county level (n = 3",32,2025-04-20 14:49:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:49:00Z,– Data & Methods,143,1,2025-04-20 14:49:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:50:00Z,– Data & Methods,",",1,2025-04-20 14:50:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:50:00Z,– Data & Methods,", excluding territories). Hospital-level data (primarily from AHA, but with one variable from CHQPR) is aggregated or rolled up to the corresponding county level using appropriate w",27,2025-04-20 14:50:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:51:00Z,– Data & Methods,"eighting where necessary (e.g., weighting technology adoption scores by hospital bed size within the county). This allows for direct comparison and correlation between hospital characteristics (like t",30,2025-04-20 14:51:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:52:00Z,– Data & Methods,"public health outcomes (morbidity, mortality, access, quality) observed in the surrounding community.",12,2025-04-20 14:52:00+00:00
Insertion,Aaron Johnson,2025-04-20T14:52:00Z,– Data & Methods,Data Preparation and Cleaning,4,2025-04-20 14:52:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:14:00Z,– Data & Methods,A rigorous multi-stage data preparation and cleaning process was implemented to ensure data quality and,15,2025-04-20 15:14:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:15:00Z,– Data & Methods,suitability for analysis.,3,2025-04-20 15:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:15:00Z,– Data & Methods,Initial Validation and Loading,4,2025-04-20 15:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:15:00Z,– Data & Methods,Python-Based Loading,2,2025-04-20 15:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:15:00Z,– Data & Methods,Data Type Handling,3,2025-04-20 15:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:15:00Z,– Data & Methods,Data Normalization,2,2025-04-20 15:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:15:00Z,– Data & Methods,Handling Missing Data,3,2025-04-20 15:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:16:00Z,– Data & Methods,: Data types and field lengths within the source CSV files were initially inspected using Microsoft SQL Server developer tools. Test loads and content validation were performed using SQL queries on a ,34,2025-04-20 15:16:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:17:00Z,– Data & Methods,.,1,2025-04-20 15:17:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:17:00Z,– Data & Methods,: Multi-threaded data loader utilities were developed in Python to efficiently import the validated ta,15,2025-04-20 15:17:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:18:00Z,– Data & Methods,bles into the PostgreSQL database hosted on a MacOS system,10,2025-04-20 15:18:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:18:00Z,– Data & Methods,". During this phase , routines were included to detect and correct potential issues such as corrupted file structures (e.g., rows with missing columns), non-st",25,2025-04-20 15:18:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:19:00Z,– Data & Methods,with an i7,3,2025-04-20 15:19:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:19:00Z,– Data & Methods,and 32 gigabytes of RAM,5,2025-04-20 15:19:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:19:00Z,– Data & Methods,"andard (“garbage”) characters within delimited files , and character set inconsistencies (e.g., UTF-8 vs. UTF-16",15,2025-04-20 15:19:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:20:00Z,– Data & Methods,CPU,1,2025-04-20 15:20:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:20:00Z,– Data & Methods,with M4 Max CPU and 64 gigabytes of RAM,9,2025-04-20 15:20:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:20:00Z,– Data & Methods,) that could impede loading.,5,2025-04-20 15:20:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:21:00Z,– Data & Methods,": Although initial type validation occurred, for maximum flexibility and maintainability in the high-performance PostgreSQL environment, all data types were ultimately stored as the character varying ",30,2025-04-20 15:21:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:22:00Z,– Data & Methods,"thout using keys or constraints. Data type conversions (e.g., to numeric or date types) are performed dynamically at runtime within SQL queries or stored procedures only when",27,2025-04-20 15:22:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:23:00Z,– Data & Methods,required for joins or calculations. This approach simplifies table structure and maintenance,12,2025-04-20 15:23:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:24:00Z,– Data & Methods,", with traceability to the original source . Performance remains high, with most queries executing",15,2025-04-20 15:24:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:25:00Z,– Data & Methods,"in milliseconds; even the most complex view, involving a five-way join and weighted average calculations across ~90 million data cells, executes in approximately 24 seconds.",25,2025-04-20 15:25:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:26:00Z,– Data & Methods,Data used for OLS regressions and ML analysis is casted back to appropriate numeric types in Python for an,19,2025-04-20 15:26:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:27:00Z,– Data & Methods,alysis and visualizations.,3,2025-04-20 15:27:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:27:00Z,– Data & Methods,": Consistency in key fields, particularly the county FIPS code, is enforced though SQL casting and string man",18,2025-04-20 15:27:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:28:00Z,– Data & Methods,"ipulation functions (e.g., LTRIM) . FIPS codes, sometimes represented as numeric values in source files (and truncated or stripped of leading zero values) , were consistently",26,2025-04-20 15:28:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:29:00Z,– Data & Methods,"formatted as five-digit text strings (e.g., padding with a leading zero where necessary to match the concatenated two-digit state and three-digit county FIPS code)",24,2025-04-20 15:29:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:30:00Z,– Data & Methods,to ensure accurate joins across datasets.,6,2025-04-20 15:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:30:00Z,– Data & Methods,": The approach to handling missing data evolved during the analysis. Initially, rows with any missing datapoints relevant to a model were dropped, which significantly reduced the dataset size and st",31,2025-04-20 15:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:31:00Z,– Data & Methods,"atistical power. This approach was then refined to only drop rows if a missing variable occurred in a variable specifically required for a given regression model. However, this still resulted in the e",37,2025-04-20 15:31:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:32:00Z,– Data & Methods,"records. At this point, runtime imputation techniques (MICEdata) were used to fill in mis",14,2025-04-20 15:32:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:33:00Z,– Data & Methods,"sing values, which improved the results. When investigating the underlying data, it turned out that a large percentage of US Counties",21,2025-04-20 15:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:33:00Z,– Data & Methods,have no hospital at all,5,2025-04-20 15:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:33:00Z,– Data & Methods,", which was resulting in those counties being dropped from the dataset",12,2025-04-20 15:33:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:34:00Z,– Data & Methods,"(>700 of 3,143)",3,2025-04-20 15:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:34:00Z,– Data & Methods,according to the AHA data,5,2025-04-20 15:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:34:00Z,– Data & Methods,(via SQL “ inner join ” ) .,8,2025-04-20 15:34:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:35:00Z,– Data & Methods,"Simply dropping those counties would bias the sample towards areas with hospitals. To retain these counties and provide a more complete national picture, the primary SQL view used for regression analy",36,2025-04-20 15:35:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:36:00Z,– Data & Methods,"identified as having no hospitals, the hospital-derived technology adoption index scores (MO1: Generative AI Capabilities, MO2: Robotics Capabilities) were imputed with a value of zero. This assumes n",36,2025-04-20 15:36:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:37:00Z,– Data & Methods,"ounty for this dataset , rather than excluding the county entirely. This strateg",13,2025-04-20 15:37:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:38:00Z,– Data & Methods,"y resulted in a more comprehensive dataset encompassing all 3,143 US counties (excluding US territories) , materially enhancing the representativeness of the analysis.",23,2025-04-20 15:38:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:39:00Z,– Data & Methods,Variables and Measures,3,2025-04-20 15:39:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:39:00Z,– Data & Methods,"The study utilizes a range of dependent, independent, moderating and control variables derived primarily from the CH",17,2025-04-20 15:39:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:40:00Z,– Data & Methods,"R and AHA datasets. Variables are defined operationally below, with further details available in the data dictionary (Appendix X) .",20,2025-04-20 15:40:00+00:00
Insertion,Aaron Johnson,2025-04-20T15:42:00Z,– Data & Methods,Dependent Variables: (DVs),3,2025-04-20 15:42:00+00:00
Insertion,Aaron Johnson,2025-04-20T22:29:00Z,– Data & Methods,DV1: Healthcare Accessibility: This is a composite index variable calculated using methodology and weights provided by the County Health Rankings (University of Wisconsin Populati,24,2025-04-20 22:29:00+00:00
Insertion,Aaron Johnson,2025-04-20T22:30:00Z,– Data & Methods,"on Health Institute). It reflects access to care within a county and is composed of underlying measures such as : uninsured rate, ratio of primary care physicians to population",29,2025-04-20 22:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T22:31:00Z,– Data & Methods,", ratio of dentists to population , mental health providers to population, preventable hospital stays, mammography screening rate, and flu vaccination rate.",22,2025-04-20 22:31:00+00:00
Insertion,Aaron Johnson,2025-04-20T22:31:00Z,– Data & Methods,DV2: Healthcare Quality: This is al,6,2025-04-20 22:31:00+00:00
Insertion,Aaron Johnson,2025-04-20T22:32:00Z,– Data & Methods,"so a composite index variable, created using CHR methodology and weights, representing the overall quality of health outcomes in a county",21,2025-04-20 22:32:00+00:00
